genre,copies_sold
Kart racing,48410000.0
Social simulation,40170000.0
Fighting,38550000.0
Action-adventure,52110000.0
Role-playing,69940000.0
Platformer,63520000.0
Party,31320000.0
Exergamerole-playing,14870000.0
Action role-playing,28950000.0
Third-person shooter,21200000.0
Platformercompilation,9070000.0
PlatformerLevel editor,7890000.0
Sports,14950000.0
Tabletop game,4220000.0
Hack and slash,4000000.0
Tactical role-playing,5820000.0
Board game,3500000.0
Role-playingaction-adventure,3340000.0
Sandboxsurvival,3310000.0
Partysocial deduction,3200000.0
Photography,2740000.0
Real-time strategypuzzle,2230000.0
Action puzzle,2130000.0
Roguelike,1890000.0
Rhythm,1890000.0
Puzzle,2790000.0
Kart racingaugmented reality,1580000.0
Construction kit,1420000.0
"Action-adventure, Hack and Slash",2320000.0
Survival horror,1200000.0
Programming,1060000.0
Bullet hell,1000000.0
Hack and slashRole-playing,1000000.0
Exergamerhythm,2000000.0
Simulationrole-playing,1000000.0
Stealth,1000000.0
