Year,Title,Copies Sold
2017,Mario Kart 8 Deluxe,48410000.0
2017,The Legend of Zelda: Breath of the Wild,27790000.0
2017,Super Mario Odyssey,24400000.0
2017,Splatoon 2,13300000.0
2017,1-2-Switch,3630000.0
2017,Minecraft,3310000.0
2017,Arms,2660000.0
2017,Xenoblade Chronicles 2,2440000.0
2017,Mario + Rabbids Kingdom Battle,2000000.0
2017,Dragon Ball Xenoverse 2,1550000.0
2017,Pokkén Tournament DX,1540000.0
2017,Naruto Shippudden: Ultimate Ninja Storm Trilogy,1260000.0
2017,Resident Evil: Revelations Collection,1200000.0
2017,Enter the Gungeon,1000000.0
2020,Animal Crossing: New Horizons,40170000.0
2020,Super Mario 3D All-Stars,9070000.0
2020,Clubhouse Games: 51 Worldwide Classics,4220000.0
2020,Hyrule Warriors: Age of Calamity,4000000.0
2020,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",3500000.0
2020,Paper Mario: The Origami King,3340000.0
2020,Among Us,3200000.0
2020,Pikmin 3 Deluxe,2230000.0
2020,Pokémon Mystery Dungeon: Rescue Team DX,1890000.0
2020,Xenoblade Chronicles: Definitive Edition,1680000.0
2020,Mario Kart Live: Home Circuit,1580000.0
2020,Fitness Boxing 2: Rhythm and Exercise,1000000.0
2018,Super Smash Bros. Ultimate,29530000.0
2018,Super Mario Party,18350000.0
2018,"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",14810000.0
2018,Mario Tennis Aces,4280000.0
2018,Donkey Kong Country: Tropical Freeze,4120000.0
2018,Kirby Star Allies,3980000.0
2018,Octopath Traveler,2160000.0
2018,Captain Toad: Treasure Tracker,2130000.0
2018,Dragon Ball FighterZ,2010000.0
2018,Taiko no Tatsujin: Drum 'n' Fun!,1890000.0
2018,Nintendo Labo Toy-Con 01: Variety Kit,1420000.0
2018,Bayonetta 2,1040000.0
2018,Fitness Boxing,1000000.0
2019,Pokémon Sword and Shield,25370000.0
2019,Ring Fit Adventure,14870000.0
2019,New Super Mario Bros. U Deluxe,13310000.0
2019,Luigi's Mansion 3,11430000.0
2019,Super Mario Maker 2,7890000.0
2019,The Legend of Zelda: Link's Awakening,6080000.0
2019,Fire Emblem: Three Houses,3820000.0
2019,Yoshi's Crafted World,3010000.0
2019,Marvel Ultimate Alliance 3: The Black Order,1500000.0
2019,Astral Chain,1280000.0
2019,Dr Kawashima's Brain Training for Nintendo Switch,1200000.0
2019,Thief Simulator,1000000.0
2021,Pokémon Brilliant Diamond and Shining Pearl,14920000.0
2021,Super Mario 3D World + Bowser's Fury,9430000.0
2021,Mario Party Superstars,8070000.0
2021,Monster Hunter Rise,7700000.0
2021,The Legend of Zelda: Skyward Sword HD,3910000.0
2021,Metroid Dread,2900000.0
2021,New Pokémon Snap,2740000.0
2021,Mario Golf: Super Rush,2350000.0
2021,Miitopia,1680000.0
2021,Big Brain Academy: Brain vs. Brain,1590000.0
2021,WarioWare: Get It Together!,1270000.0
2021,Game Builder Garage,1060000.0
2021,Shin Megami Tensei V,1000000.0
2021,Story of Seasons: Pioneers of Olive Town,1000000.0
2022,Pokémon Legends: Arceus,13910000.0
2022,Pokémon Scarlet and Violet,10000000.0
2022,Splatoon 3,7900000.0
2022,Nintendo Switch Sports,6150000.0
2022,Kirby and the Forgotten Land,5270000.0
2022,Mario Strikers: Battle League,2170000.0
2022,Xenoblade Chronicles 3,1720000.0
2022,Fire Emblem Warriors: Three Hopes,1000000.0
